============================================================
MAT Pseudo-Grid LWM (Method 2: 8×16) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_pseudo_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_pseudo_lwm_weights.pth
------------------------------------------------------------
Dataset — train: 898605, val: 224651, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
  step  8300/14041 | loss 31.7924 | data 0.0 ms | step 3.2 ms | 20235.5 samples/s
  step  8350/14041 | loss 31.8333 | data 0.0 ms | step 3.2 ms | 20075.8 samples/s
  step  8400/14041 | loss 30.4782 | data 0.1 ms | step 3.8 ms | 16684.6 samples/s
  step  8450/14041 | loss 29.8287 | data 0.1 ms | step 3.8 ms | 16894.6 samples/s
  step  8500/14041 | loss 30.8085 | data 0.1 ms | step 3.8 ms | 16690.9 samples/s
  step  8550/14041 | loss 29.2139 | data 0.1 ms | step 3.9 ms | 16445.7 samples/s
  step  8600/14041 | loss 31.4349 | data 0.1 ms | step 3.9 ms | 16506.0 samples/s
  step  8650/14041 | loss 28.0437 | data 0.1 ms | step 4.0 ms | 16089.4 samples/s
  step  8700/14041 | loss 32.2445 | data 0.1 ms | step 3.9 ms | 16212.4 samples/s
  step  8750/14041 | loss 28.4870 | data 0.1 ms | step 3.9 ms | 16524.8 samples/s
  step  8800/14041 | loss 25.4442 | data 0.1 ms | step 3.9 ms | 16309.6 samples/s
  step  8850/14041 | loss 29.0669 | data 0.1 ms | step 3.9 ms | 16292.5 samples/s
  step  8900/14041 | loss 32.9197 | data 0.1 ms | step 3.9 ms | 16372.0 samples/s
  step  8950/14041 | loss 29.3880 | data 0.1 ms | step 3.9 ms | 16371.4 samples/s
  step  9000/14041 | loss 27.8038 | data 0.0 ms | step 3.6 ms | 17755.5 samples/s
  step  9050/14041 | loss 27.8316 | data 0.0 ms | step 3.2 ms | 20025.6 samples/s
  step  9100/14041 | loss 29.9392 | data 0.0 ms | step 3.2 ms | 19873.4 samples/s
  step  9150/14041 | loss 28.4870 | data 0.1 ms | step 3.2 ms | 19999.6 samples/s
  step  9200/14041 | loss 29.5801 | data 0.1 ms | step 3.1 ms | 20758.9 samples/s
  step  9250/14041 | loss 32.5894 | data 0.1 ms | step 3.7 ms | 17457.0 samples/s
  step  9300/14041 | loss 31.1185 | data 0.1 ms | step 3.9 ms | 16335.2 samples/s
  step  9350/14041 | loss 34.5255 | data 0.0 ms | step 3.2 ms | 20103.0 samples/s
  step  9400/14041 | loss 28.1554 | data 0.1 ms | step 3.7 ms | 17218.9 samples/s
  step  9450/14041 | loss 34.5520 | data 0.0 ms | step 3.9 ms | 16458.0 samples/s
  step  9500/14041 | loss 29.7797 | data 0.1 ms | step 4.0 ms | 16194.6 samples/s
  step  9550/14041 | loss 31.7881 | data 0.1 ms | step 3.9 ms | 16590.0 samples/s
  step  9600/14041 | loss 30.7955 | data 0.0 ms | step 3.9 ms | 16244.6 samples/s
  step  9650/14041 | loss 27.3113 | data 0.0 ms | step 3.9 ms | 16214.3 samples/s
  step  9700/14041 | loss 30.0865 | data 0.1 ms | step 4.0 ms | 15813.4 samples/s
  step  9750/14041 | loss 28.5861 | data 0.1 ms | step 4.0 ms | 15808.7 samples/s
  step  9800/14041 | loss 31.1042 | data 0.0 ms | step 4.0 ms | 16006.8 samples/s
  step  9850/14041 | loss 26.3951 | data 0.0 ms | step 4.3 ms | 15048.9 samples/s
  step  9900/14041 | loss 30.6316 | data 0.1 ms | step 5.0 ms | 12688.1 samples/s
  step  9950/14041 | loss 29.8358 | data 0.1 ms | step 5.5 ms | 11636.6 samples/s
  step 10000/14041 | loss 29.4887 | data 0.1 ms | step 5.2 ms | 12304.8 samples/s
  step 10050/14041 | loss 29.9987 | data 0.1 ms | step 5.4 ms | 11921.4 samples/s
  step 10100/14041 | loss 27.8962 | data 0.1 ms | step 5.7 ms | 11310.4 samples/s
  step 10150/14041 | loss 28.3517 | data 0.1 ms | step 5.6 ms | 11510.6 samples/s
  step 10200/14041 | loss 27.6234 | data 0.1 ms | step 5.4 ms | 11930.1 samples/s
  step 10250/14041 | loss 29.1058 | data 0.1 ms | step 5.5 ms | 11666.2 samples/s
  step 10300/14041 | loss 27.4231 | data 0.0 ms | step 4.9 ms | 13104.0 samples/s
  step 10350/14041 | loss 25.6205 | data 0.0 ms | step 4.9 ms | 13035.3 samples/s
  step 10400/14041 | loss 29.8698 | data 0.0 ms | step 4.7 ms | 13552.1 samples/s
  step 10450/14041 | loss 28.7337 | data 0.1 ms | step 4.9 ms | 13158.7 samples/s
  step 10500/14041 | loss 29.7614 | data 0.1 ms | step 5.5 ms | 11560.1 samples/s
  step 10550/14041 | loss 29.9127 | data 0.1 ms | step 5.6 ms | 11390.8 samples/s
  step 10600/14041 | loss 26.4387 | data 0.1 ms | step 5.6 ms | 11361.1 samples/s
  step 10650/14041 | loss 27.6390 | data 0.1 ms | step 5.4 ms | 11899.3 samples/s
  step 10700/14041 | loss 28.5079 | data 0.1 ms | step 4.8 ms | 13270.4 samples/s
  step 10750/14041 | loss 28.8335 | data 0.1 ms | step 4.7 ms | 13507.8 samples/s
  step 10800/14041 | loss 29.2272 | data 0.1 ms | step 4.7 ms | 13627.2 samples/s
  step 10850/14041 | loss 28.1853 | data 0.1 ms | step 4.7 ms | 13503.5 samples/s
  step 10900/14041 | loss 28.4600 | data 0.1 ms | step 4.8 ms | 13242.6 samples/s
  step 10950/14041 | loss 26.9504 | data 0.1 ms | step 4.8 ms | 13260.7 samples/s
  step 11000/14041 | loss 28.2762 | data 0.1 ms | step 4.9 ms | 13183.6 samples/s
  step 11050/14041 | loss 26.2957 | data 0.1 ms | step 5.0 ms | 12923.0 samples/s
  step 11100/14041 | loss 26.8735 | data 0.1 ms | step 4.9 ms | 13121.0 samples/s
  step 11150/14041 | loss 26.5687 | data 0.1 ms | step 5.0 ms | 12854.7 samples/s
  step 11200/14041 | loss 25.7471 | data 0.1 ms | step 5.3 ms | 12029.7 samples/s
  step 11250/14041 | loss 29.7208 | data 0.1 ms | step 5.4 ms | 11847.8 samples/s
  step 11300/14041 | loss 28.6237 | data 0.1 ms | step 5.2 ms | 12240.0 samples/s
  step 11350/14041 | loss 27.6259 | data 0.1 ms | step 4.9 ms | 13041.5 samples/s
  step 11400/14041 | loss 26.4188 | data 0.1 ms | step 5.2 ms | 12214.3 samples/s
  step 11450/14041 | loss 25.6328 | data 0.1 ms | step 5.2 ms | 12199.9 samples/s
  step 11500/14041 | loss 24.9270 | data 0.1 ms | step 5.2 ms | 12253.7 samples/s
  step 11550/14041 | loss 23.4533 | data 0.1 ms | step 5.4 ms | 11867.7 samples/s
  step 11600/14041 | loss 27.5434 | data 0.1 ms | step 4.6 ms | 13867.7 samples/s
  step 11650/14041 | loss 27.3315 | data 0.1 ms | step 4.7 ms | 13607.8 samples/s
  step 11700/14041 | loss 27.9241 | data 0.1 ms | step 4.7 ms | 13484.5 samples/s
  step 11750/14041 | loss 26.2976 | data 0.1 ms | step 4.8 ms | 13362.1 samples/s
  step 11800/14041 | loss 23.5560 | data 0.1 ms | step 4.7 ms | 13655.6 samples/s
  step 11850/14041 | loss 27.4637 | data 0.1 ms | step 3.9 ms | 16243.7 samples/s
  step 11900/14041 | loss 27.6839 | data 0.0 ms | step 4.0 ms | 16069.8 samples/s
  step 11950/14041 | loss 25.6920 | data 0.1 ms | step 4.1 ms | 15675.6 samples/s
  step 12000/14041 | loss 27.7435 | data 0.1 ms | step 4.0 ms | 16072.1 samples/s
  step 12050/14041 | loss 26.8534 | data 0.1 ms | step 4.1 ms | 15542.4 samples/s
  step 12100/14041 | loss 24.1537 | data 0.0 ms | step 3.9 ms | 16331.9 samples/s
  step 12150/14041 | loss 22.9472 | data 0.0 ms | step 3.9 ms | 16461.5 samples/s
  step 12200/14041 | loss 26.7318 | data 0.0 ms | step 3.9 ms | 16499.8 samples/s
  step 12250/14041 | loss 23.9282 | data 0.0 ms | step 4.3 ms | 15030.8 samples/s
  step 12300/14041 | loss 24.9819 | data 0.1 ms | step 5.2 ms | 12191.3 samples/s
  step 12350/14041 | loss 22.0004 | data 0.1 ms | step 5.5 ms | 11725.4 samples/s
  step 12400/14041 | loss 26.0074 | data 0.1 ms | step 5.4 ms | 11942.9 samples/s
  step 12450/14041 | loss 24.9519 | data 0.1 ms | step 5.6 ms | 11440.3 samples/s
  step 12500/14041 | loss 23.9996 | data 0.1 ms | step 5.6 ms | 11352.2 samples/s
  step 12550/14041 | loss 23.0209 | data 0.1 ms | step 5.4 ms | 11840.6 samples/s
