============================================================
MAT-ViT-LWM (Method 1: 32×32 ViT) — Pre-training
============================================================
Log file    : mask_aware_tf/mat_vit_lwm_weights.log
Device      : cuda
Scenarios   : ['O1_3p5_v1', 'O1_3p5_v2', 'Boston5G_3p5', 'asu_campus1']
Num workers : 8 | Pin memory: True
AMP         : disabled
Epochs      : 100
Batch size  : 64
LR          : 0.0001 | Weight decay: 1e-05
Scheduler   : StepLR(step=10, gamma=0.9)
Scheduler per batch: False
Seed        : 0
SNR (dB)    : None
Mask ratio  : 0.15
Save path   : mask_aware_tf/mat_vit_lwm_weights.pth
------------------------------------------------------------
Dataset sizes — train: 898605, val: 224651, test: 1
Batches per epoch — train: 14041, val: 3511, test: 1
============================================================

Epoch 1/100
----------------------------------------
Learning Rate: 0.000100
Batch Size   : 64
  step 10200/14041 | loss 0.8674 | data 0.1 ms | step 23.8 ms | 2689.1 samples/s
  step 10250/14041 | loss 0.8443 | data 0.1 ms | step 24.1 ms | 2654.6 samples/s
  step 10300/14041 | loss 0.8838 | data 0.1 ms | step 24.2 ms | 2640.7 samples/s
  step 10350/14041 | loss 0.9063 | data 0.1 ms | step 24.1 ms | 2653.0 samples/s
  step 10400/14041 | loss 0.8561 | data 0.1 ms | step 24.4 ms | 2620.0 samples/s
  step 10450/14041 | loss 1.0770 | data 0.1 ms | step 27.4 ms | 2338.8 samples/s
  step 10500/14041 | loss 0.7783 | data 0.1 ms | step 28.0 ms | 2286.0 samples/s
  step 10550/14041 | loss 0.7986 | data 0.1 ms | step 27.5 ms | 2324.4 samples/s
  step 10600/14041 | loss 0.8238 | data 0.1 ms | step 26.4 ms | 2426.9 samples/s
  step 10650/14041 | loss 0.8091 | data 0.1 ms | step 25.6 ms | 2498.6 samples/s
  step 10700/14041 | loss 0.6198 | data 0.1 ms | step 25.6 ms | 2504.6 samples/s
  step 10750/14041 | loss 0.6884 | data 0.1 ms | step 24.1 ms | 2659.5 samples/s
  step 10800/14041 | loss 0.7723 | data 0.1 ms | step 24.5 ms | 2607.3 samples/s
  step 10850/14041 | loss 0.7395 | data 0.1 ms | step 24.3 ms | 2638.8 samples/s
  step 10900/14041 | loss 0.6629 | data 0.1 ms | step 23.5 ms | 2728.6 samples/s
  step 10950/14041 | loss 0.8035 | data 0.1 ms | step 24.1 ms | 2658.0 samples/s
  step 11000/14041 | loss 0.7800 | data 0.1 ms | step 24.0 ms | 2663.5 samples/s
  step 11050/14041 | loss 0.7762 | data 0.1 ms | step 24.2 ms | 2647.0 samples/s
  step 11100/14041 | loss 1.0381 | data 0.1 ms | step 27.5 ms | 2328.8 samples/s
  step 11150/14041 | loss 0.8346 | data 0.1 ms | step 26.9 ms | 2381.1 samples/s
  step 11200/14041 | loss 0.5977 | data 0.1 ms | step 28.7 ms | 2232.5 samples/s
  step 11250/14041 | loss 0.6185 | data 0.1 ms | step 27.6 ms | 2317.4 samples/s
  step 11300/14041 | loss 0.7753 | data 0.1 ms | step 25.2 ms | 2535.4 samples/s
  step 11350/14041 | loss 0.6305 | data 0.1 ms | step 23.9 ms | 2678.7 samples/s
  step 11400/14041 | loss 0.6264 | data 0.1 ms | step 24.1 ms | 2658.0 samples/s
  step 11450/14041 | loss 0.7785 | data 0.1 ms | step 27.8 ms | 2303.6 samples/s
  step 11500/14041 | loss 0.5852 | data 0.1 ms | step 24.4 ms | 2619.1 samples/s
  step 11550/14041 | loss 0.6180 | data 0.1 ms | step 23.9 ms | 2672.4 samples/s
  step 11600/14041 | loss 0.5031 | data 0.1 ms | step 24.2 ms | 2644.2 samples/s
  step 11650/14041 | loss 0.6618 | data 0.1 ms | step 25.6 ms | 2497.6 samples/s
  step 11700/14041 | loss 0.6426 | data 0.1 ms | step 27.2 ms | 2352.2 samples/s
  step 11750/14041 | loss 0.7576 | data 0.1 ms | step 24.1 ms | 2655.4 samples/s
  step 11800/14041 | loss 0.6335 | data 0.1 ms | step 25.0 ms | 2560.1 samples/s
  step 11850/14041 | loss 0.8356 | data 0.1 ms | step 28.3 ms | 2262.7 samples/s
  step 11900/14041 | loss 0.5354 | data 0.1 ms | step 27.5 ms | 2327.7 samples/s
  step 11950/14041 | loss 0.6365 | data 0.1 ms | step 26.3 ms | 2438.0 samples/s
  step 12000/14041 | loss 0.7390 | data 0.1 ms | step 24.1 ms | 2658.6 samples/s
  step 12050/14041 | loss 0.5970 | data 0.1 ms | step 24.0 ms | 2664.6 samples/s
